   1000.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   56.5262       4.81919       6.76888       4.80204       6.75987      0.171543E-01  0.900908E-02   11.5619       2.70903       2.70829       2.55296       2.09300       1.49882       0.00000       2.55276    
  0.109648E-03   54.9038       4.69563       6.59054       4.67752       6.58103      0.181107E-01  0.951190E-02   11.2585       2.64126       2.64047       2.48754       2.03626       1.45323       0.00000       2.48733    
  0.120226E-03   53.3186       4.57446       6.41596       4.55531       6.40590      0.191527E-01  0.100603E-01   10.9612       2.57474       2.57389       2.42332       1.98057       1.40890       0.00000       2.42311    
  0.131825E-03   51.7496       4.45436       6.24302       4.43413       6.23239      0.202332E-01  0.106292E-01   10.6665       2.50878       2.50786       2.35962       1.92535       1.36511       0.00000       2.35942    
  0.144543E-03   50.2038       4.33579       6.07244       4.31442       6.06121      0.213689E-01  0.112276E-01   10.3756       2.44362       2.44264       2.29670       1.87081       1.32208       0.00000       2.29649    
  0.158489E-03   48.6913       4.21948       5.90527       4.19690       5.89340      0.225875E-01  0.118704E-01   10.0903       2.37963       2.37858       2.23489       1.81727       1.28013       0.00000       2.23469    
  0.173779E-03   47.1956       4.10433       5.73982       4.08048       5.72729      0.238492E-01  0.125362E-01   9.80776       2.31623       2.31510       2.17366       1.76424       1.23872       0.00000       2.17346    
  0.190545E-03   45.7330       3.99145       5.57778       3.96625       5.56453      0.251973E-01  0.132484E-01   9.53078       2.25402       2.25281       2.11357       1.71224       1.19836       0.00000       2.11336    
  0.208928E-03   44.2971       3.88046       5.41850       3.85384       5.40450      0.266200E-01  0.140007E-01   9.25834       2.19277       2.19147       2.05440       1.66107       1.15883       0.00000       2.05420    
  0.229085E-03   42.8787       3.77069       5.26103       3.74260       5.24625      0.280913E-01  0.147792E-01   8.98885       2.13215       2.13076       1.99584       1.61045       1.11984       0.00000       1.99565    
  0.251186E-03   41.5033       3.66399       5.10802       3.63430       5.09239      0.296898E-01  0.156262E-01   8.72669       2.07310       2.07161       1.93880       1.56120       1.08218       0.00000       1.93860    
  0.275420E-03   40.1468       3.55866       4.95698       3.52731       4.94048      0.313485E-01  0.165059E-01   8.46779       2.01475       2.01315       1.88243       1.51256       1.04509       0.00000       1.88224    
  0.301992E-03   38.8158       3.45517       4.80861       3.42208       4.79118      0.330882E-01  0.174293E-01   8.21326       1.95734       1.95563       1.82697       1.46474       1.00877       0.00000       1.82678    
  0.331127E-03   37.5219       3.35440       4.66412       3.31945       4.64570      0.349549E-01  0.184215E-01   7.96515       1.90130       1.89948       1.77285       1.41814      0.973562       0.00000       1.77266    
  0.363073E-03   36.2462       3.25497       4.52153       3.21808       4.50208      0.368861E-01  0.194489E-01   7.72016       1.84595       1.84399       1.71937       1.37213      0.938896       0.00000       1.71919    
  0.398101E-03   35.0049       3.15809       4.38256       3.11914       4.36201      0.389444E-01  0.205453E-01   7.48116       1.79188       1.78979       1.66715       1.32726      0.905251       0.00000       1.66697    
  0.436509E-03   33.7921       3.06334       4.24659       3.02223       4.22489      0.411165E-01  0.217039E-01   7.24711       1.73889       1.73665       1.61596       1.28334      0.872443       0.00000       1.61580    
  0.478622E-03   32.5974       2.96995       4.11253       2.92659       4.08963      0.433614E-01  0.229022E-01   7.01622       1.68657       1.68419       1.56544       1.24002      0.840166       0.00000       1.56528    
  0.524798E-03   31.4457       2.87981       3.98301       2.83402       3.95881      0.457923E-01  0.242022E-01   6.79283       1.63589       1.63333       1.51649       1.19813      0.809139       0.00000       1.51634    
  0.575429E-03   30.3135       2.79117       3.85557       2.74286       3.83002      0.483155E-01  0.255530E-01   6.57287       1.58595       1.58322       1.46826       1.15690      0.778677       0.00000       1.46812    
  0.630945E-03   29.2061       2.70442       3.73075       2.65347       3.70378      0.509553E-01  0.269677E-01   6.35725       1.53695       1.53404       1.42095       1.11651      0.748930       0.00000       1.42081    
  0.691816E-03   28.1358       2.62054       3.60988       2.56675       3.58139      0.537854E-01  0.284873E-01   6.14815       1.48938       1.48626       1.37501       1.07738      0.720245       0.00000       1.37488    
  0.758561E-03   27.0831       2.53802       3.49088       2.48131       3.46082      0.567106E-01  0.300594E-01   5.94213       1.44247       1.43915       1.32972       1.03884      0.692062       0.00000       1.32961    
  0.831745E-03   26.0629       2.45805       3.37536       2.39823       3.34363      0.598181E-01  0.317323E-01   5.74186       1.39682       1.39328       1.28565       1.00140      0.664805       0.00000       1.28555    
  0.911989E-03   25.0705       2.38026       3.26282       2.31717       3.22932      0.630954E-01  0.334993E-01   5.54649       1.35225       1.34846       1.24262      0.964921      0.638334       0.00000       1.24252    
  0.999975E-03   24.0953       2.30383       3.15212       2.23736       3.11679      0.664788E-01  0.353253E-01   5.35415       1.30833       1.30430       1.20023      0.929024      0.612347       0.00000       1.20014    
  0.109645E-02   23.1598       2.23057       3.04568       2.16044       3.00838      0.701270E-01  0.372986E-01   5.16882       1.26595       1.26165       1.15932      0.894486      0.587475       0.00000       1.15925    
  0.120223E-02   22.2430       2.15882       2.94127       2.08490       2.90193      0.739125E-01  0.393486E-01   4.98683       1.22431       1.21973       1.11912      0.860595      0.563129       0.00000       1.11907    
  0.131822E-02   21.3487       2.08886       2.83928       2.01100       2.79779      0.778607E-01  0.414896E-01   4.80879       1.18353       1.17865       1.07977      0.827470      0.539406       0.00000       1.07973    
  0.144540E-02   20.4889       2.02173       2.74103       1.93964       2.69724      0.820850E-01  0.437853E-01   4.63689       1.14410       1.13891       1.04172      0.795539      0.516646       0.00000       1.04169    
  0.158485E-02   19.6452       1.95590       2.64452       1.86946       2.59836      0.864444E-01  0.461570E-01   4.46782       1.10530       1.09977       1.00427      0.764159      0.494329       0.00000       1.00426    
  0.173775E-02   18.8305       1.89246       2.55116       1.80141       2.50249      0.910559E-01  0.486706E-01   4.30389       1.06763       1.06175      0.967921      0.733778      0.472813       0.00000      0.967925    
  0.190540E-02   18.0413       1.83116       2.46059       1.73525       2.40927      0.959106E-01  0.513216E-01   4.14451       1.03096       1.02471      0.932539      0.704282      0.452000       0.00000      0.932559    
  0.208923E-02   17.2676       1.77113       2.37170       1.67022       2.31764      0.100914      0.540565E-01   3.98786      0.994901      0.988255      0.897740      0.675317      0.431611       0.00000      0.897776    
  0.229079E-02   16.5286       1.71404       2.28662       1.60776       2.22962      0.106277      0.569957E-01   3.83738      0.960204      0.953137      0.864259      0.647555      0.412174       0.00000      0.864312    
  0.251180E-02   15.8068       1.65840       2.20343       1.54657       2.14338      0.111834      0.600452E-01   3.68995      0.926182      0.918678      0.831431      0.620387      0.393206       0.00000      0.831501    
  0.275413E-02   15.1042       1.60440       2.12235       1.48680       2.05913      0.117607      0.632177E-01   3.54593      0.892915      0.884953      0.799330      0.593882      0.374760       0.00000      0.799418    
  0.301984E-02   14.4325       1.55307       2.04468       1.42931       1.97807      0.123758      0.666064E-01   3.40739      0.860865      0.852412      0.768403      0.568447      0.357154       0.00000      0.768508    
  0.331118E-02   13.7746       1.50295       1.96856       1.37286       1.89846      0.130089      0.700984E-01   3.27132      0.829364      0.820404      0.738006      0.543495      0.339924       0.00000      0.738128    
  0.363064E-02   13.1415       1.45498       1.89517       1.31823       1.82139      0.136748      0.737781E-01   3.13962      0.798835      0.789339      0.708546      0.519396      0.323363       0.00000      0.708686    
  0.398091E-02   12.5309       1.40901       1.82429       1.26528       1.74665      0.143729      0.776441E-01   3.01193      0.769198      0.759136      0.679945      0.496080      0.307411       0.00000      0.680103    
  0.436498E-02   11.9335       1.36421       1.75490       1.21331       1.67328      0.150904      0.816212E-01   2.88659      0.740084      0.729440      0.651848      0.473223      0.291816       0.00000      0.652025    
  0.478610E-02   11.3655       1.32204       1.68879       1.16351       1.60293      0.158529      0.858589E-01   2.76644      0.712126      0.700860      0.624866      0.451382      0.277010       0.00000      0.625060    
  0.524785E-02   10.8124       1.28123       1.62437       1.11483       1.53413      0.166403      0.902408E-01   2.64896      0.684763      0.672853      0.598459      0.430063      0.262609       0.00000      0.598670    
  0.575415E-02   10.2752       1.24186       1.56174       1.06732       1.46696      0.174537      0.947737E-01   2.53428      0.658025      0.645448      0.572654      0.409294      0.248632       0.00000      0.572882    
  0.630929E-02   9.76447       1.20492       1.50210       1.02178       1.40252      0.183136      0.995771E-01   2.42431      0.632335      0.619051      0.547860      0.389446      0.235368       0.00000      0.548105    
  0.691799E-02   9.26540       1.16906       1.44379      0.977110       1.33929      0.191949      0.104504       2.31640      0.607105      0.593097      0.523513      0.370005      0.222417       0.00000      0.523774    
  0.758542E-02   8.78654       1.13508       1.38778      0.933942       1.27813      0.201135      0.109650       2.21207      0.582673      0.567909      0.499938      0.351269      0.210009       0.00000      0.500214    
  0.831724E-02   8.32686       1.10290       1.33397      0.892203       1.21896      0.210693      0.115011       2.11116      0.558999      0.543449      0.477098      0.333204      0.198116       0.00000      0.477390    
  0.911966E-02   7.87699       1.07166       1.28129      0.851201       1.16080      0.220459      0.120494       2.01200      0.535717      0.519364      0.454639      0.315484      0.186488       0.00000      0.454944    
  0.999950E-02   7.44035       1.04189       1.23030      0.811247       1.10407      0.230645      0.126224       1.91532      0.513000      0.495811      0.432721      0.298247      0.175222       0.00000      0.433039    
  0.109642E-01   7.01953       1.01350       1.18103      0.772435       1.04894      0.241062      0.132087       1.82138      0.490879      0.472839      0.411392      0.281556      0.164379       0.00000      0.411723    
  0.120220E-01   6.62307      0.987291       1.13447      0.735404      0.996282      0.251886      0.138184       1.73169      0.469690      0.450770      0.390981      0.265714      0.154189       0.00000      0.391323    
  0.131819E-01   6.24255      0.962602       1.08974      0.699566      0.945278      0.263036      0.144467       1.64484      0.449126      0.429306      0.371189      0.250440      0.144430       0.00000      0.371541    
  0.144536E-01   5.87734      0.939371       1.04679      0.664876      0.895868      0.274496      0.150924       1.56074      0.429162      0.408425      0.351995      0.235714      0.135088       0.00000      0.352355    
  0.158481E-01   5.52597      0.917450       1.00544      0.631223      0.847904      0.286227      0.157532       1.47913      0.409736      0.388072      0.333342      0.221487      0.126122       0.00000      0.333709    
  0.173770E-01   5.18807      0.896798      0.965631      0.598585      0.801354      0.298213      0.164277       1.39994      0.390835      0.368235      0.315221      0.207750      0.117525       0.00000      0.315594    
  0.190535E-01   4.86454      0.877483      0.927474      0.567029      0.756321      0.310454      0.171154       1.32335      0.372490      0.348951      0.297671      0.194540      0.109322       0.00000      0.298048    
  0.208917E-01   4.55464      0.859420      0.890873      0.536504      0.712737      0.322916      0.178136       1.24924      0.354670      0.330195      0.280667      0.181834      0.101496       0.00000      0.281046    
  0.229073E-01   4.25713      0.842471      0.855672      0.506917      0.670481      0.335554      0.185191       1.17740      0.337324      0.311924      0.264164      0.169593      0.940124E-01   0.00000      0.264544    
  0.251174E-01   3.97168      0.826583      0.821822      0.478247      0.629529      0.348336      0.192293       1.10778      0.320439      0.294129      0.248155      0.157808      0.868654E-01   0.00000      0.248535    
  0.275406E-01   3.69918      0.811796      0.789399      0.450563      0.589991      0.361233      0.199408       1.04055      0.304043      0.276851      0.232682      0.146520      0.800808E-01   0.00000      0.233059    
  0.301976E-01   3.43883      0.798000      0.758291      0.423807      0.551798      0.374193      0.206493      0.975605      0.288102      0.260066      0.217720      0.135705      0.736384E-01   0.00000      0.218093    
  0.331110E-01   3.18960      0.785066      0.728356      0.397904      0.514850      0.387162      0.213506      0.912754      0.272575      0.243740      0.203233      0.125329      0.675106E-01   0.00000      0.203600    
  0.363055E-01   2.95122      0.772925      0.699534      0.372836      0.479136      0.400090      0.220398      0.851972      0.257447      0.227869      0.189216      0.115388      0.616913E-01   0.00000      0.189576    
  0.398081E-01   2.72457      0.761576      0.671871      0.348672      0.444778      0.412904      0.227093      0.793450      0.242747      0.212502      0.175719      0.105925      0.562070E-01   0.00000      0.176069    
  0.436487E-01   2.50883      0.750890      0.645232      0.325354      0.411706      0.425536      0.233527      0.737060      0.228440      0.197616      0.162715      0.969144E-01  0.510356E-01   0.00000      0.163054    
  0.478598E-01   2.30318      0.740744      0.619487      0.302819      0.379843      0.437925      0.239645      0.682662      0.214491      0.183186      0.150176      0.883280E-01  0.461539E-01   0.00000      0.150503    
