   10.0000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   7.13875       1.28730       1.78310       1.27741       1.77802      0.989334E-02  0.507817E-02   3.05544      0.972943      0.972548      0.805609      0.304468       0.00000       0.00000      0.805477    
  0.109648E-03   7.36120       1.27370       1.76003       1.26321       1.75464      0.104883E-01  0.538552E-02   3.01785      0.960004      0.959578      0.795198      0.303206       0.00000       0.00000      0.795065    
  0.120226E-03   7.54673       1.25928       1.73626       1.24814       1.73053      0.111418E-01  0.572365E-02   2.97867      0.946735      0.946274      0.784394      0.301405       0.00000       0.00000      0.784259    
  0.131825E-03   7.71823       1.24458       1.71225       1.23276       1.70618      0.118220E-01  0.607584E-02   2.93894      0.933355      0.932859      0.773454      0.299408       0.00000       0.00000      0.773319    
  0.144543E-03   7.86963       1.22949       1.68792       1.21695       1.68147      0.125403E-01  0.644815E-02   2.89842      0.919819      0.919283      0.762321      0.297129       0.00000       0.00000      0.762184    
  0.158489E-03   7.99559       1.21394       1.66322       1.20062       1.65637      0.133167E-01  0.685112E-02   2.85699      0.906113      0.905535      0.750969      0.294509       0.00000       0.00000      0.750832    
  0.173779E-03   8.10953       1.19819       1.63837       1.18407       1.63110      0.141232E-01  0.727010E-02   2.81516      0.892336      0.891712      0.739522      0.291733       0.00000       0.00000      0.739383    
  0.190545E-03   8.20110       1.18210       1.61326       1.16711       1.60553      0.149910E-01  0.772154E-02   2.77264      0.878438      0.877766      0.727907      0.288673       0.00000       0.00000      0.727768    
  0.208928E-03   8.27650       1.16581       1.58800       1.14989       1.57980      0.159120E-01  0.820132E-02   2.72970      0.864476      0.863751      0.716192      0.285418       0.00000       0.00000      0.716052    
  0.229085E-03   8.34143       1.14938       1.56267       1.13251       1.55397      0.168678E-01  0.869962E-02   2.68648      0.850474      0.849693      0.704412      0.282038       0.00000       0.00000      0.704272    
  0.251186E-03   8.38315       1.13273       1.53720       1.11481       1.52795      0.179157E-01  0.924704E-02   2.64276      0.836414      0.835572      0.692518      0.278396       0.00000       0.00000      0.692379    
  0.275420E-03   8.41565       1.11601       1.51171       1.09700       1.50189      0.190076E-01  0.981810E-02   2.59890      0.822346      0.821439      0.680592      0.274657       0.00000       0.00000      0.680454    
  0.301992E-03   8.43576       1.09922       1.48620       1.07906       1.47578      0.201589E-01  0.104209E-01   2.55484      0.808269      0.807291      0.668624      0.270789       0.00000       0.00000      0.668486    
  0.331127E-03   8.43958       1.08237       1.46071       1.06097       1.44964      0.214044E-01  0.110743E-01   2.51061      0.794206      0.793153      0.656623      0.266764       0.00000       0.00000      0.656487    
  0.363073E-03   8.43593       1.06553       1.43526       1.04283       1.42351      0.226981E-01  0.117537E-01   2.46634      0.780159      0.779025      0.644616      0.262671       0.00000       0.00000      0.644481    
  0.398101E-03   8.41865       1.04870       1.40989       1.02461       1.39740      0.240873E-01  0.124846E-01   2.42201      0.766152      0.764930      0.632605      0.258459       0.00000       0.00000      0.632473    
  0.436509E-03   8.39116       1.03193       1.38462       1.00636       1.37136      0.255632E-01  0.132625E-01   2.37773      0.752196      0.750880      0.620611      0.254168       0.00000       0.00000      0.620481    
  0.478622E-03   8.35727       1.01520       1.35943      0.988102       1.34536      0.270946E-01  0.140704E-01   2.33346      0.738274      0.736860      0.608629      0.249828       0.00000       0.00000      0.608501    
  0.524798E-03   8.30950      0.998621       1.33446      0.969851       1.31950      0.287697E-01  0.149564E-01   2.28936      0.724456      0.722932      0.596698      0.245395       0.00000       0.00000      0.596573    
  0.575429E-03   8.25600      0.982144       1.30962      0.951627       1.29373      0.305171E-01  0.158818E-01   2.24536      0.710696      0.709056      0.584800      0.240931       0.00000       0.00000      0.584679    
