   100.000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   36.5573       3.14655       4.16186       3.13368       4.15561      0.128746E-01  0.625290E-02   7.28929       1.86680       1.86593       1.71496       1.26688      0.574877       0.00000       1.71481    
  0.109648E-03   35.6024       3.06684       4.05784       3.05321       4.05122      0.136297E-01  0.662555E-02   7.10443       1.82226       1.82132       1.67209       1.23095      0.557967       0.00000       1.67193    
  0.120226E-03   34.6750       2.98980       3.95713       2.97534       3.95010      0.144567E-01  0.703475E-02   6.92544       1.77907       1.77806       1.63053       1.19627      0.541656       0.00000       1.63038    
  0.131825E-03   33.7588       2.91385       3.85776       2.89853       3.85030      0.153162E-01  0.746060E-02   6.74883       1.73644       1.73535       1.58952       1.16209      0.525587       0.00000       1.58936    
  0.144543E-03   32.8586       2.83945       3.76030       2.82323       3.75239      0.162224E-01  0.791030E-02   6.57562       1.69459       1.69342       1.54927       1.12864      0.509864       0.00000       1.54911    
  0.158489E-03   31.9802       2.76715       3.66543       2.74996       3.65704      0.171991E-01  0.839622E-02   6.40699       1.65380       1.65254       1.51005       1.09615      0.494606       0.00000       1.50989    
  0.173779E-03   31.1124       2.69589       3.57183       2.67768       3.56293      0.182125E-01  0.890102E-02   6.24061       1.61353       1.61218       1.47134       1.06415      0.479574       0.00000       1.47118    
  0.190545E-03   30.2653       2.62660       3.48065       2.60730       3.47121      0.193000E-01  0.944405E-02   6.07851       1.57425       1.57280       1.43359       1.03305      0.464976       0.00000       1.43343    
  0.208928E-03   29.4341       2.55885       3.39136       2.53840       3.38134      0.204517E-01  0.100204E-01   5.91974       1.53575       1.53419       1.39660       1.00266      0.450712       0.00000       1.39644    
  0.229085E-03   28.6134       2.49210       3.30328       2.47045       3.29266      0.216454E-01  0.106184E-01   5.76311       1.49774       1.49606       1.36009      0.972716      0.436664       0.00000       1.35993    
  0.251186E-03   27.8173       2.42771       3.21808       2.40476       3.20680      0.229495E-01  0.112740E-01   5.61156       1.46091       1.45911       1.32472      0.943851      0.423127       0.00000       1.32457    
  0.275420E-03   27.0319       2.36433       3.13410       2.34002       3.12215      0.243063E-01  0.119571E-01   5.46217       1.42458       1.42265       1.28985      0.915443      0.409807       0.00000       1.28969    
  0.301992E-03   26.2607       2.30231       3.05178       2.27658       3.03911      0.257339E-01  0.126772E-01   5.31568       1.38893       1.38685       1.25563      0.887648      0.396777       0.00000       1.25548    
  0.331127E-03   25.5098       2.24221       2.97179       2.21494       2.95833      0.272733E-01  0.134561E-01   5.17327       1.35423       1.35199       1.22233      0.860714      0.384155       0.00000       1.22218    
  0.363073E-03   24.7686       2.18304       2.89290       2.15417       2.87864      0.288698E-01  0.142652E-01   5.03281       1.31998       1.31758       1.18947      0.834193      0.371729       0.00000       1.18933    
  0.398101E-03   24.0457       2.12561       2.81612       2.09503       2.80098      0.305792E-01  0.151339E-01   4.89601       1.28658       1.28402       1.15745      0.808444      0.359668       0.00000       1.15730    
  0.436509E-03   23.3378       2.06959       2.74102       2.03720       2.72497      0.323904E-01  0.160568E-01   4.76217       1.25388       1.25112       1.12609      0.783316      0.347901       0.00000       1.12594    
  0.478622E-03   22.6392       2.01446       2.66700       1.98019       2.64999      0.342668E-01  0.170142E-01   4.63018       1.22161       1.21866       1.09515      0.758582      0.336320       0.00000       1.09501    
  0.524798E-03   21.9628       1.96142       2.59547       1.92511       2.57741      0.363109E-01  0.180613E-01   4.50252       1.19036       1.18718       1.06518      0.734756      0.325170       0.00000       1.06505    
  0.575429E-03   21.2963       1.90933       2.52505       1.87089       2.50589      0.384390E-01  0.191534E-01   4.37678       1.15955       1.15615       1.03566      0.711335      0.314211       0.00000       1.03553    
  0.630945E-03   20.6423       1.85842       2.45604       1.81774       2.43573      0.406731E-01  0.203025E-01   4.25348       1.12932       1.12567       1.00669      0.688426      0.303494       0.00000       1.00657    
  0.691816E-03   20.0070       1.80927       2.38910       1.76619       2.36755      0.430818E-01  0.215460E-01   4.13374       1.09992       1.09601      0.978520      0.666264      0.293133       0.00000      0.978405    
  0.758561E-03   19.3804       1.76095       2.32313       1.71537       2.30030      0.455782E-01  0.228369E-01   4.01567       1.07092       1.06673      0.950731      0.644452      0.282937       0.00000      0.950623    
  0.831745E-03   18.7701       1.71417       2.25896       1.66592       2.23474      0.482434E-01  0.242196E-01   3.90066       1.04264       1.03816      0.923638      0.623282      0.273047       0.00000      0.923537    
  0.911989E-03   18.1734       1.66868       2.19630       1.61762       2.17061      0.510673E-01  0.256890E-01   3.78823       1.01497       1.01016      0.897127      0.602649      0.263413       0.00000      0.897034    
  0.999975E-03   17.5853       1.62400       2.13457       1.57001       2.10736      0.539904E-01  0.272127E-01   3.67737      0.987667      0.982531      0.870974      0.582347      0.253937       0.00000      0.870889    
