   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   6.06152      0.788295       1.26250      0.781401       1.25973      0.689486E-02  0.276726E-02   2.04113      0.710243      0.709713      0.550078      0.711572E-01   0.00000       0.00000      0.550015    
  0.109648E-03   6.03091      0.777247       1.24393      0.769907       1.24097      0.734036E-02  0.295627E-02   2.01088      0.699995      0.699422      0.541614      0.699120E-01   0.00000       0.00000      0.541551    
  0.120226E-03   5.99929      0.766527       1.22574      0.758694       1.22257      0.783325E-02  0.316692E-02   1.98126      0.689943      0.689323      0.533313      0.687508E-01   0.00000       0.00000      0.533248    
  0.131825E-03   5.96725      0.755942       1.20770      0.747594       1.20431      0.834790E-02  0.338758E-02   1.95191      0.679971      0.679300      0.525077      0.676233E-01   0.00000       0.00000      0.525011    
  0.144543E-03   5.93464      0.745552       1.18988      0.736658       1.18626      0.889369E-02  0.362258E-02   1.92292      0.670114      0.669389      0.516935      0.665442E-01   0.00000       0.00000      0.516869    
  0.158489E-03   5.90124      0.735431       1.17236      0.725943       1.16848      0.948717E-02  0.387973E-02   1.89443      0.660413      0.659628      0.508921      0.655299E-01   0.00000       0.00000      0.508854    
  0.173779E-03   5.86746      0.725442       1.15499      0.715336       1.15084      0.101056E-01  0.414854E-02   1.86618      0.650789      0.649941      0.500969      0.645470E-01   0.00000       0.00000      0.500902    
  0.190545E-03   5.83296      0.715711       1.13791      0.704936       1.13346      0.107748E-01  0.444114E-02   1.83840      0.641312      0.640395      0.493138      0.636241E-01   0.00000       0.00000      0.493070    
  0.208928E-03   5.79790      0.706185       1.12104      0.694697       1.11629      0.114885E-01  0.475479E-02   1.81098      0.631950      0.630957      0.485399      0.627470E-01   0.00000       0.00000      0.485331    
  0.229085E-03   5.76248      0.696793       1.10432      0.684561       1.09924      0.122313E-01  0.508222E-02   1.78380      0.622662      0.621591      0.477721      0.618995E-01   0.00000       0.00000      0.477652    
  0.251186E-03   5.72622      0.687723       1.08795      0.674671       1.08251      0.130516E-01  0.544668E-02   1.75718      0.613551      0.612391      0.470185      0.611207E-01   0.00000       0.00000      0.470116    
  0.275420E-03   5.68961      0.678795       1.07173      0.664886       1.06590      0.139094E-01  0.582920E-02   1.73079      0.604515      0.603261      0.462710      0.603705E-01   0.00000       0.00000      0.462641    
  0.301992E-03   5.65251      0.670058       1.05571      0.655240       1.04947      0.148176E-01  0.623600E-02   1.70471      0.595581      0.594227      0.455317      0.596587E-01   0.00000       0.00000      0.455248    
  0.331127E-03   5.61475      0.661597       1.03998      0.645791       1.03330      0.158064E-01  0.668204E-02   1.67909      0.586792      0.585326      0.448038      0.589992E-01   0.00000       0.00000      0.447969    
  0.363073E-03   5.57667      0.653272       1.02438      0.636435       1.01723      0.168368E-01  0.714842E-02   1.65367      0.578071      0.576489      0.440814      0.583644E-01   0.00000       0.00000      0.440745    
  0.398101E-03   5.53799      0.645205       1.00905      0.627255       1.00139      0.179496E-01  0.765533E-02   1.62865      0.569480      0.567770      0.433692      0.577749E-01   0.00000       0.00000      0.433624    
  0.436509E-03   5.49883      0.637354      0.993932      0.618216      0.985732      0.191380E-01  0.819973E-02   1.60395      0.560995      0.559146      0.426653      0.572203E-01   0.00000       0.00000      0.426585    
  0.478622E-03   5.45937      0.629639      0.978949      0.609264      0.970181      0.203748E-01  0.876817E-02   1.57945      0.552577      0.550583      0.419665      0.566877E-01   0.00000       0.00000      0.419599    
  0.524798E-03   5.41920      0.622255      0.964288      0.600517      0.954888      0.217378E-01  0.939987E-02   1.55540      0.544313      0.542156      0.412797      0.562035E-01   0.00000       0.00000      0.412732    
  0.575429E-03   5.37871      0.615024      0.949771      0.591859      0.939707      0.231649E-01  0.100640E-01   1.53157      0.536119      0.533789      0.405982      0.557394E-01   0.00000       0.00000      0.405918    
  0.630945E-03   5.33782      0.607986      0.935438      0.583313      0.924669      0.246730E-01  0.107692E-01   1.50798      0.528013      0.525498      0.399233      0.553006E-01   0.00000       0.00000      0.399171    
  0.691816E-03   5.29632      0.601248      0.921380      0.574931      0.909836      0.263166E-01  0.115436E-01   1.48477      0.520035      0.517317      0.392581      0.548959E-01   0.00000       0.00000      0.392520    
  0.758561E-03   5.25455      0.594653      0.907452      0.566624      0.895098      0.280288E-01  0.123535E-01   1.46172      0.512118      0.509185      0.385972      0.545062E-01   0.00000       0.00000      0.385914    
  0.831745E-03   5.21224      0.588328      0.893765      0.558454      0.880533      0.298741E-01  0.132320E-01   1.43899      0.504311      0.501144      0.379445      0.541426E-01   0.00000       0.00000      0.379389    
  0.911989E-03   5.16947      0.582242      0.880285      0.550396      0.866108      0.318465E-01  0.141770E-01   1.41650      0.496598      0.493177      0.372985      0.537979E-01   0.00000       0.00000      0.372930    
  0.999975E-03   5.12642      0.576305      0.866932      0.542406      0.851768      0.338986E-01  0.151636E-01   1.39417      0.488942      0.485255      0.366564      0.534647E-01   0.00000       0.00000      0.366512    
  0.109645E-02   5.08269      0.570722      0.853875      0.534568      0.837617      0.361541E-01  0.162577E-01   1.37219      0.481415      0.477432      0.360234      0.531532E-01   0.00000       0.00000      0.360185    
  0.120223E-02   5.03861      0.565316      0.840959      0.526798      0.823550      0.385181E-01  0.174096E-01   1.35035      0.473949      0.469652      0.353944      0.528493E-01   0.00000       0.00000      0.353898    
  0.131822E-02   4.99414      0.560119      0.828212      0.519108      0.809582      0.410107E-01  0.186302E-01   1.32869      0.466554      0.461923      0.347701      0.525544E-01   0.00000       0.00000      0.347658    
  0.144540E-02   4.94900      0.555263      0.815727      0.511536      0.795755      0.437278E-01  0.199719E-01   1.30729      0.459267      0.454267      0.341527      0.522681E-01   0.00000       0.00000      0.341488    
  0.158485E-02   4.90353      0.550571      0.803365      0.504014      0.781991      0.465569E-01  0.213745E-01   1.28600      0.452030      0.446642      0.335384      0.519840E-01   0.00000       0.00000      0.335349    
  0.173775E-02   4.85746      0.546179      0.791226      0.496582      0.768333      0.495972E-01  0.228925E-01   1.26492      0.444880      0.439071      0.329293      0.517021E-01   0.00000       0.00000      0.329262    
  0.190540E-02   4.81080      0.542071      0.779286      0.489223      0.754760      0.528476E-01  0.245264E-01   1.24398      0.437806      0.431542      0.323244      0.514174E-01   0.00000       0.00000      0.323218    
  0.208923E-02   4.76377      0.538134      0.767467      0.481907      0.741235      0.562271E-01  0.262319E-01   1.22314      0.430776      0.424036      0.317221      0.511305E-01   0.00000       0.00000      0.317199    
  0.229079E-02   4.71584      0.534606      0.755923      0.474678      0.727806      0.599282E-01  0.281169E-01   1.20248      0.423845      0.416576      0.311247      0.508329E-01   0.00000       0.00000      0.311230    
  0.251180E-02   4.66740      0.531294      0.744518      0.467486      0.714415      0.638081E-01  0.301033E-01   1.18190      0.416960      0.409133      0.305294      0.505263E-01   0.00000       0.00000      0.305282    
  0.275413E-02   4.61840      0.528223      0.733269      0.460336      0.701066      0.678877E-01  0.322025E-01   1.16140      0.410126      0.401708      0.299365      0.502096E-01   0.00000       0.00000      0.299358    
  0.301984E-02   4.56833      0.525571      0.722275      0.453241      0.687766      0.723297E-01  0.345093E-01   1.14101      0.403371      0.394302      0.293465      0.498696E-01   0.00000       0.00000      0.293463    
  0.331118E-02   4.51774      0.523116      0.711399      0.446167      0.674480      0.769489E-01  0.369187E-01   1.12065      0.396651      0.386901      0.287575      0.495167E-01   0.00000       0.00000      0.287579    
  0.363064E-02   4.46617      0.521021      0.700732      0.439127      0.661215      0.818938E-01  0.395171E-01   1.10034      0.389988      0.379504      0.281701      0.491391E-01   0.00000       0.00000      0.281711    
  0.398091E-02   4.41354      0.519281      0.690263      0.432107      0.647951      0.871738E-01  0.423126E-01   1.08006      0.383375      0.372099      0.275835      0.487329E-01   0.00000       0.00000      0.275851    
  0.436498E-02   4.36027      0.517754      0.679911      0.425098      0.634684      0.926555E-01  0.452271E-01   1.05978      0.376789      0.364690      0.269972      0.483093E-01   0.00000       0.00000      0.269994    
