   7.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   10.5105       1.16196       1.62801       1.15361       1.62454      0.835230E-02  0.347136E-02   2.77815      0.891532      0.891027      0.733604      0.262078       0.00000       0.00000      0.733512    
  0.109648E-03   10.3918       1.14208       1.60063       1.13320       1.59693      0.887444E-02  0.369883E-02   2.73014      0.876871      0.876326      0.720700      0.256332       0.00000       0.00000      0.720607    
  0.120226E-03   10.2727       1.12275       1.57385       1.11330       1.56990      0.945013E-02  0.395124E-02   2.68320      0.862517      0.861926      0.708068      0.250781       0.00000       0.00000      0.707974    
  0.131825E-03   10.1534       1.10365       1.54732       1.09360       1.54310      0.100503E-01  0.421515E-02   2.63670      0.848288      0.847648      0.695548      0.245309       0.00000       0.00000      0.695453    
  0.144543E-03   10.0340       1.08487       1.52113       1.07419       1.51664      0.106856E-01  0.449552E-02   2.59082      0.834237      0.833547      0.683187      0.239950       0.00000       0.00000      0.683091    
  0.158489E-03   9.91421       1.06655       1.49543       1.05517       1.49063      0.113743E-01  0.480121E-02   2.54580      0.820430      0.819683      0.671042      0.234744       0.00000       0.00000      0.670945    
  0.173779E-03   9.79437       1.04845       1.46996       1.03635       1.46484      0.120910E-01  0.512018E-02   2.50119      0.806742      0.805935      0.659002      0.229613       0.00000       0.00000      0.658905    
  0.190545E-03   9.67434       1.03077       1.44495       1.01791       1.43948      0.128644E-01  0.546622E-02   2.45739      0.793284      0.792412      0.647166      0.224624       0.00000       0.00000      0.647068    
  0.208928E-03   9.55421       1.01344       1.42029      0.999751       1.41445      0.136873E-01  0.583611E-02   2.41420      0.780004      0.779061      0.635489      0.219747       0.00000       0.00000      0.635390    
  0.229085E-03   9.43401      0.996323       1.39586      0.981781       1.38964      0.145426E-01  0.622160E-02   2.37142      0.766841      0.765824      0.623913      0.214940       0.00000       0.00000      0.623814    
  0.251186E-03   9.31372      0.979740       1.37198      0.964256       1.36534      0.154839E-01  0.664884E-02   2.32959      0.753953      0.752853      0.612581      0.210303       0.00000       0.00000      0.612482    
  0.275420E-03   9.19342      0.963387       1.34835      0.946920       1.34125      0.164665E-01  0.709636E-02   2.28817      0.741183      0.739995      0.601353      0.205736       0.00000       0.00000      0.601254    
  0.301992E-03   9.07309      0.947344       1.32503      0.929839       1.31746      0.175048E-01  0.757114E-02   2.24730      0.728573      0.727291      0.590265      0.201266       0.00000       0.00000      0.590166    
  0.331127E-03   8.95279      0.931749       1.30217      0.913117       1.29408      0.186318E-01  0.808976E-02   2.20719      0.716187      0.714801      0.579373      0.196930       0.00000       0.00000      0.579275    
  0.363073E-03   8.83252      0.916371       1.27952      0.896567       1.27089      0.198043E-01  0.863105E-02   2.16746      0.703909      0.702414      0.568576      0.192658       0.00000       0.00000      0.568479    
  0.398101E-03   8.71231      0.901407       1.25730      0.880340       1.24808      0.210672E-01  0.921742E-02   2.12842      0.691835      0.690220      0.557956      0.188504       0.00000       0.00000      0.557860    
  0.436509E-03   8.59219      0.886784       1.23541      0.864372       1.22557      0.224125E-01  0.984529E-02   2.08994      0.679926      0.678182      0.547479      0.184446       0.00000       0.00000      0.547385    
  0.478622E-03   8.47213      0.872379       1.21374      0.848568       1.20324      0.238105E-01  0.104998E-01   2.05181      0.668120      0.666241      0.537093      0.180448       0.00000       0.00000      0.537000    
