   4.00000000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   6.09559      0.788051       1.26078      0.780664       1.25741      0.738752E-02  0.337041E-02   2.03807      0.708473      0.708006      0.549463      0.721910E-01   0.00000       0.00000      0.549400    
  0.109648E-03   6.06386      0.777062       1.24234      0.769205       1.23875      0.785731E-02  0.359203E-02   2.00795      0.698288      0.697784      0.541025      0.709166E-01   0.00000       0.00000      0.540961    
  0.120226E-03   6.03107      0.766399       1.22427      0.758023       1.22043      0.837622E-02  0.383788E-02   1.97846      0.688297      0.687751      0.532749      0.697259E-01   0.00000       0.00000      0.532684    
  0.131825E-03   5.99786      0.755872       1.20636      0.746955       1.20227      0.891763E-02  0.409488E-02   1.94922      0.678386      0.677795      0.524538      0.685689E-01   0.00000       0.00000      0.524472    
  0.144543E-03   5.96405      0.745539       1.18867      0.736048       1.18430      0.949127E-02  0.436787E-02   1.92035      0.668588      0.667948      0.516421      0.674600E-01   0.00000       0.00000      0.516354    
  0.158489E-03   5.92943      0.735474       1.17128      0.725359       1.16662      0.101141E-01  0.466542E-02   1.89197      0.658944      0.658251      0.508431      0.664157E-01   0.00000       0.00000      0.508364    
  0.173779E-03   5.89442      0.725541       1.15404      0.714778       1.14906      0.107628E-01  0.497584E-02   1.86384      0.649375      0.648627      0.500503      0.654028E-01   0.00000       0.00000      0.500435    
  0.190545E-03   5.85866      0.715865       1.13708      0.704402       1.13177      0.114637E-01  0.531250E-02   1.83617      0.639952      0.639142      0.492695      0.644496E-01   0.00000       0.00000      0.492627    
  0.208928E-03   5.82232      0.706394       1.12035      0.694184       1.11468      0.122105E-01  0.567225E-02   1.80886      0.630642      0.629765      0.484979      0.635419E-01   0.00000       0.00000      0.484911    
  0.229085E-03   5.78562      0.697056       1.10376      0.684069       1.09771      0.129871E-01  0.604711E-02   1.78178      0.621405      0.620459      0.477324      0.626637E-01   0.00000       0.00000      0.477255    
  0.251186E-03   5.74804      0.688041       1.08752      0.674197       1.08106      0.138434E-01  0.646235E-02   1.75526      0.612343      0.611318      0.469811      0.618540E-01   0.00000       0.00000      0.469742    
  0.275420E-03   5.71009      0.679166       1.07143      0.664428       1.06454      0.147382E-01  0.689720E-02   1.72896      0.603356      0.602247      0.462358      0.610727E-01   0.00000       0.00000      0.462289    
  0.301992E-03   5.67165      0.670483       1.05555      0.654798       1.04819      0.156846E-01  0.735840E-02   1.70299      0.594468      0.593271      0.454987      0.603296E-01   0.00000       0.00000      0.454918    
  0.331127E-03   5.63252      0.662075       1.03995      0.645362       1.03209      0.167135E-01  0.786194E-02   1.67745      0.585723      0.584427      0.447730      0.596386E-01   0.00000       0.00000      0.447661    
  0.363073E-03   5.59306      0.653803       1.02449      0.636018       1.01611      0.177848E-01  0.838737E-02   1.65212      0.577046      0.575646      0.440528      0.589721E-01   0.00000       0.00000      0.440460    
  0.398101E-03   5.55298      0.645789       1.00930      0.626848       1.00034      0.189405E-01  0.895629E-02   1.62719      0.568498      0.566983      0.433428      0.583507E-01   0.00000       0.00000      0.433361    
  0.436509E-03   5.51240      0.637990      0.994324      0.617817      0.984759      0.201731E-01  0.956523E-02   1.60258      0.560053      0.558415      0.426411      0.577641E-01   0.00000       0.00000      0.426344    
  0.478622E-03   5.47151      0.630328      0.979485      0.608873      0.969286      0.214551E-01  0.101998E-01   1.57816      0.551673      0.549906      0.419445      0.571994E-01   0.00000       0.00000      0.419380    
  0.524798E-03   5.42989      0.622995      0.964971      0.600130      0.954069      0.228655E-01  0.109016E-01   1.55420      0.543447      0.541534      0.412600      0.566828E-01   0.00000       0.00000      0.412535    
  0.575429E-03   5.38794      0.615816      0.950603      0.591475      0.938966      0.243411E-01  0.116376E-01   1.53044      0.535289      0.533222      0.405807      0.561862E-01   0.00000       0.00000      0.405743    
  0.630945E-03   5.34557      0.608830      0.936422      0.582932      0.924005      0.258989E-01  0.124169E-01   1.50694      0.527217      0.524986      0.399081      0.557150E-01   0.00000       0.00000      0.399019    
  0.691816E-03   5.30258      0.602143      0.922519      0.574549      0.909250      0.275940E-01  0.132689E-01   1.48380      0.519271      0.516859      0.392451      0.552778E-01   0.00000       0.00000      0.392391    
  0.758561E-03   5.25931      0.595599      0.908747      0.566241      0.894589      0.293587E-01  0.141579E-01   1.46083      0.511385      0.508782      0.385866      0.548554E-01   0.00000       0.00000      0.385808    
  0.831745E-03   5.21548      0.589325      0.895221      0.558067      0.880102      0.312580E-01  0.151187E-01   1.43817      0.503608      0.500796      0.379362      0.544593E-01   0.00000       0.00000      0.379307    
  0.911989E-03   5.17118      0.583290      0.881905      0.550004      0.865756      0.332857E-01  0.161484E-01   1.41576      0.495922      0.492884      0.372926      0.540822E-01   0.00000       0.00000      0.372872    
  0.999975E-03   5.12659      0.577403      0.868718      0.542009      0.851496      0.353938E-01  0.172214E-01   1.39351      0.488292      0.485017      0.366530      0.537165E-01   0.00000       0.00000      0.366479    
  0.109645E-02   5.08131      0.571870      0.855832      0.534163      0.837427      0.377071E-01  0.184052E-01   1.37159      0.480790      0.477249      0.360225      0.533728E-01   0.00000       0.00000      0.360177    
  0.120223E-02   5.03568      0.566513      0.843090      0.526383      0.823442      0.401294E-01  0.196484E-01   1.34982      0.473346      0.469526      0.353961      0.530368E-01   0.00000       0.00000      0.353916    
  0.131822E-02   4.98963      0.561364      0.830519      0.518683      0.809557      0.426811E-01  0.209620E-01   1.32824      0.465973      0.461854      0.347745      0.527101E-01   0.00000       0.00000      0.347704    
  0.144540E-02   4.94292      0.556555      0.818216      0.511097      0.795817      0.454581E-01  0.223993E-01   1.30691      0.458705      0.454256      0.341599      0.523924E-01   0.00000       0.00000      0.341562    
  0.158485E-02   4.89587      0.551909      0.806038      0.503562      0.782140      0.483475E-01  0.238985E-01   1.28570      0.451484      0.446689      0.335484      0.520772E-01   0.00000       0.00000      0.335450    
  0.173775E-02   4.84822      0.547563      0.794087      0.496115      0.768572      0.514486E-01  0.255147E-01   1.26469      0.444350      0.439178      0.329423      0.517646E-01   0.00000       0.00000      0.329394    
  0.190540E-02   4.79997      0.543498      0.782339      0.488739      0.755091      0.547596E-01  0.272479E-01   1.24383      0.437289      0.431710      0.323406      0.514499E-01   0.00000       0.00000      0.323381    
  0.208923E-02   4.75136      0.539604      0.770713      0.481404      0.741660      0.581998E-01  0.290531E-01   1.22306      0.430271      0.424266      0.317414      0.511334E-01   0.00000       0.00000      0.317394    
  0.229079E-02   4.70185      0.536116      0.759368      0.474155      0.728330      0.619607E-01  0.310384E-01   1.20249      0.423348      0.416870      0.311475      0.508071E-01   0.00000       0.00000      0.311459    
  0.251180E-02   4.65184      0.532843      0.748164      0.466943      0.715040      0.658998E-01  0.331247E-01   1.18198      0.416470      0.409493      0.305557      0.504725E-01   0.00000       0.00000      0.305547    
  0.275413E-02   4.60126      0.529809      0.737118      0.459771      0.701795      0.700377E-01  0.353236E-01   1.16157      0.409642      0.402135      0.299665      0.501286E-01   0.00000       0.00000      0.299659    
  0.301984E-02   4.54965      0.527188      0.726331      0.452653      0.688603      0.745356E-01  0.377282E-01   1.14126      0.402890      0.394799      0.293803      0.497626E-01   0.00000       0.00000      0.293803    
  0.331118E-02   4.49752      0.524764      0.715663      0.445554      0.675429      0.792095E-01  0.402340E-01   1.12098      0.396170      0.387469      0.287954      0.493844E-01   0.00000       0.00000      0.287960    
  0.363064E-02   4.44443      0.522695      0.705207      0.438489      0.662281      0.842061E-01  0.429259E-01   1.10077      0.389506      0.380146      0.282123      0.489829E-01   0.00000       0.00000      0.282135    
  0.398091E-02   4.39031      0.520976      0.694949      0.431442      0.649138      0.895342E-01  0.458109E-01   1.08058      0.382888      0.372819      0.276302      0.485542E-01   0.00000       0.00000      0.276319    
  0.436498E-02   4.33556      0.519467      0.684810      0.424406      0.635997      0.950618E-01  0.488122E-01   1.06040      0.376297      0.365488      0.270486      0.481089E-01   0.00000       0.00000      0.270509    
  0.478610E-02   4.27925      0.518450      0.674936      0.417379      0.622839      0.101071      0.520970E-01   1.04022      0.369759      0.358137      0.264672      0.476207E-01   0.00000       0.00000      0.264702    
  0.524785E-02   4.22199      0.517708      0.665204      0.410350      0.609657      0.107358      0.555467E-01   1.02001      0.363243      0.350767      0.258854      0.471064E-01   0.00000       0.00000      0.258890    
  0.575415E-02   4.16373      0.517253      0.655621      0.403317      0.596451      0.113936      0.591695E-01  0.999769      0.356753      0.343377      0.253032      0.465646E-01   0.00000       0.00000      0.253074    
  0.630929E-02   4.10350      0.517321      0.646297      0.396263      0.583177      0.121058      0.631199E-01  0.979440      0.350294      0.335938      0.247190      0.459694E-01   0.00000       0.00000      0.247239    
  0.691799E-02   4.04228      0.517634      0.637090      0.389194      0.569863      0.128440      0.672276E-01  0.959057      0.343845      0.328470      0.241337      0.453484E-01   0.00000       0.00000      0.241393    
  0.758542E-02   3.97929      0.518379      0.628091      0.382095      0.556474      0.136284      0.716164E-01  0.938569      0.337414      0.320951      0.235461      0.446810E-01   0.00000       0.00000      0.235523    
  0.831724E-02   3.91431      0.519569      0.619297      0.374954      0.542992      0.144615      0.763052E-01  0.917946      0.330990      0.313370      0.229554      0.439645E-01   0.00000       0.00000      0.229622    
  0.911966E-02   3.84816      0.521016      0.610621      0.367788      0.529452      0.153228      0.811689E-01  0.897239      0.324568      0.305750      0.223628      0.432196E-01   0.00000       0.00000      0.223702    
  0.999950E-02   3.77922      0.523037      0.602196      0.360550      0.515761      0.162486      0.864349E-01  0.876312      0.318139      0.298033      0.217648      0.424120E-01   0.00000       0.00000      0.217728    
  0.109642E-01   3.70891      0.525326      0.593897      0.353279      0.502005      0.172047      0.918919E-01  0.855284      0.311706      0.290273      0.211647      0.415730E-01   0.00000       0.00000      0.211733    
  0.120220E-01   3.63593      0.528123      0.585833      0.345936      0.488117      0.182187      0.977161E-01  0.834053      0.305261      0.282425      0.205601      0.406754E-01   0.00000       0.00000      0.205692    
