   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   1.40077      0.490795      0.809696      0.484319      0.806580      0.647517E-02  0.311615E-02   1.29090      0.484319      0.483948      0.322632       0.00000       0.00000       0.00000      0.322632    
  0.109648E-03   1.42080      0.485700      0.800666      0.478807      0.797342      0.689263E-02  0.332410E-02   1.27615      0.478807      0.478405      0.318937       0.00000       0.00000       0.00000      0.318937    
  0.120226E-03   1.44125      0.480746      0.791813      0.473391      0.788258      0.735432E-02  0.355490E-02   1.26165      0.473391      0.472955      0.315303       0.00000       0.00000       0.00000      0.315303    
  0.131825E-03   1.46188      0.475852      0.783034      0.468015      0.779237      0.783630E-02  0.379621E-02   1.24725      0.468015      0.467542      0.311695       0.00000       0.00000       0.00000      0.311695    
  0.144543E-03   1.48276      0.471043      0.774358      0.462696      0.770306      0.834733E-02  0.405259E-02   1.23300      0.462696      0.462183      0.308122       0.00000       0.00000       0.00000      0.308122    
  0.158489E-03   1.50400      0.466355      0.765826      0.457453      0.761494      0.890281E-02  0.433210E-02   1.21895      0.457453      0.456897      0.304598       0.00000       0.00000       0.00000      0.304598    
  0.173779E-03   1.52542      0.461728      0.757365      0.452247      0.752741      0.948156E-02  0.462374E-02   1.20499      0.452247      0.451645      0.301097       0.00000       0.00000       0.00000      0.301097    
  0.190545E-03   1.54718      0.457220      0.749040      0.447113      0.744100      0.101076E-01  0.494006E-02   1.19121      0.447113      0.446460      0.297640       0.00000       0.00000       0.00000      0.297640    
  0.208928E-03   1.56921      0.452810      0.740823      0.442035      0.735545      0.107751E-01  0.527812E-02   1.17758      0.442035      0.441327      0.294218       0.00000       0.00000       0.00000      0.294218    
  0.229085E-03   1.59141      0.448463      0.732676      0.436993      0.727046      0.114696E-01  0.563039E-02   1.16404      0.436993      0.436227      0.290818       0.00000       0.00000       0.00000      0.290818    
  0.251186E-03   1.61404      0.444273      0.724697      0.432037      0.718676      0.122364E-01  0.602064E-02   1.15071      0.432037      0.431206      0.287471       0.00000       0.00000       0.00000      0.287471    
  0.275420E-03   1.63686      0.440156      0.716791      0.427118      0.710362      0.130380E-01  0.642930E-02   1.13748      0.427118      0.426217      0.284145       0.00000       0.00000       0.00000      0.284145    
  0.301992E-03   1.65992      0.436134      0.708984      0.422248      0.702121      0.138864E-01  0.686273E-02   1.12437      0.422248      0.421273      0.280848       0.00000       0.00000       0.00000      0.280848    
  0.331127E-03   1.68333      0.432258      0.701318      0.417448      0.693982      0.148099E-01  0.733591E-02   1.11143      0.417448      0.416389      0.277593       0.00000       0.00000       0.00000      0.277593    
  0.363073E-03   1.70691      0.428453      0.693722      0.412681      0.685892      0.157720E-01  0.782964E-02   1.09857      0.412681      0.411535      0.274357       0.00000       0.00000       0.00000      0.274357    
  0.398101E-03   1.73080      0.424788      0.686256      0.407977      0.677891      0.168108E-01  0.836419E-02   1.08587      0.407977      0.406735      0.271157       0.00000       0.00000       0.00000      0.271157    
  0.436509E-03   1.75495      0.421243      0.678898      0.403324      0.669962      0.179197E-01  0.893626E-02   1.07329      0.403324      0.401977      0.267985       0.00000       0.00000       0.00000      0.267985    
  0.478622E-03   1.77925      0.417776      0.671609      0.398702      0.662077      0.190737E-01  0.953239E-02   1.06078      0.398702      0.397246      0.264831       0.00000       0.00000       0.00000      0.264831    
  0.524798E-03   1.80392      0.414501      0.664484      0.394156      0.654292      0.203449E-01  0.101915E-01   1.04845      0.394156      0.392575      0.261717       0.00000       0.00000       0.00000      0.261717    
  0.575429E-03   1.82874      0.411319      0.657434      0.389643      0.646551      0.216757E-01  0.108826E-01   1.03619      0.389643      0.387931      0.258621       0.00000       0.00000       0.00000      0.258621    
  0.630945E-03   1.85376      0.408254      0.650479      0.385172      0.638865      0.230817E-01  0.116144E-01   1.02404      0.385172      0.383319      0.255546       0.00000       0.00000       0.00000      0.255546    
  0.691816E-03   1.87904      0.405377      0.643669      0.380763      0.631255      0.246135E-01  0.124142E-01   1.01202      0.380763      0.378753      0.252502       0.00000       0.00000       0.00000      0.252502    
  0.758561E-03   1.90445      0.402593      0.636928      0.376384      0.623680      0.262091E-01  0.132486E-01   1.00006      0.376384      0.374208      0.249472       0.00000       0.00000       0.00000      0.249472    
  0.831745E-03   1.93006      0.399985      0.630317      0.372057      0.616166      0.279282E-01  0.141503E-01  0.988223      0.372057      0.369700      0.246467       0.00000       0.00000       0.00000      0.246467    
  0.911989E-03   1.95582      0.397541      0.623817      0.367775      0.608701      0.297654E-01  0.151164E-01  0.976476      0.367775      0.365221      0.243480       0.00000       0.00000       0.00000      0.243480    
  0.999975E-03   1.98167      0.395197      0.617388      0.363521      0.601265      0.316766E-01  0.161229E-01  0.964785      0.363521      0.360759      0.240506       0.00000       0.00000       0.00000      0.240506    
  0.109645E-02   2.00767      0.393106      0.611122      0.359329      0.593889      0.337768E-01  0.172333E-01  0.953218      0.359329      0.356333      0.237556       0.00000       0.00000       0.00000      0.237556    
  0.120223E-02   2.03372      0.391144      0.604937      0.355166      0.586538      0.359778E-01  0.183991E-01  0.941704      0.355166      0.351923      0.234615       0.00000       0.00000       0.00000      0.234615    
