   1.89999998             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.100000E-03   1.43310      0.488961      0.807644      0.483617      0.805463      0.534399E-02  0.218150E-02   1.28908      0.483617      0.483278      0.322185       0.00000       0.00000       0.00000      0.322185    
  0.109648E-03   1.45229      0.484003      0.798890      0.478298      0.796550      0.570541E-02  0.233986E-02   1.27485      0.478298      0.477930      0.318620       0.00000       0.00000       0.00000      0.318620    
  0.120226E-03   1.47185      0.479175      0.790297      0.473068      0.787780      0.610709E-02  0.251720E-02   1.26085      0.473068      0.472668      0.315112       0.00000       0.00000       0.00000      0.315112    
  0.131825E-03   1.49158      0.474401      0.781771      0.467874      0.779068      0.652732E-02  0.270337E-02   1.24694      0.467874      0.467441      0.311627       0.00000       0.00000       0.00000      0.311627    
  0.144543E-03   1.51154      0.469706      0.773340      0.462732      0.770438      0.697412E-02  0.290218E-02   1.23317      0.462732      0.462263      0.308175       0.00000       0.00000       0.00000      0.308175    
  0.158489E-03   1.53181      0.465123      0.765040      0.457661      0.761919      0.746178E-02  0.312056E-02   1.21958      0.457661      0.457151      0.304768       0.00000       0.00000       0.00000      0.304768    
  0.173779E-03   1.55224      0.460595      0.756803      0.452624      0.753454      0.797088E-02  0.334928E-02   1.20608      0.452624      0.452072      0.301382       0.00000       0.00000       0.00000      0.301382    
  0.190545E-03   1.57298      0.456177      0.748691      0.447654      0.745092      0.852365E-02  0.359908E-02   1.19275      0.447654      0.447055      0.298037       0.00000       0.00000       0.00000      0.298037    
  0.208928E-03   1.59395      0.451849      0.740676      0.442734      0.736808      0.911491E-02  0.386762E-02   1.17954      0.442734      0.442085      0.294723       0.00000       0.00000       0.00000      0.294723    
  0.229085E-03   1.61509      0.447580      0.732724      0.437848      0.728576      0.973133E-02  0.414843E-02   1.16642      0.437848      0.437146      0.291430       0.00000       0.00000       0.00000      0.291430    
  0.251186E-03   1.63659      0.443456      0.724925      0.433041      0.720463      0.104151E-01  0.446227E-02   1.15350      0.433041      0.432278      0.288185       0.00000       0.00000       0.00000      0.288185    
  0.275420E-03   1.65826      0.439399      0.717192      0.428268      0.712400      0.111315E-01  0.479229E-02   1.14067      0.428268      0.427440      0.284960       0.00000       0.00000       0.00000      0.284960    
  0.301992E-03   1.68015      0.435431      0.709549      0.423539      0.704405      0.118919E-01  0.514405E-02   1.12794      0.423539      0.422643      0.281762       0.00000       0.00000       0.00000      0.281762    
  0.331127E-03   1.70234      0.431597      0.702033      0.418874      0.696502      0.127229E-01  0.553104E-02   1.11538      0.418874      0.417901      0.278601       0.00000       0.00000       0.00000      0.278601    
  0.363073E-03   1.72468      0.427830      0.694580      0.414240      0.688643      0.135905E-01  0.593635E-02   1.10288      0.414240      0.413186      0.275457       0.00000       0.00000       0.00000      0.275457    
  0.398101E-03   1.74730      0.424193      0.687244      0.409662      0.680866      0.145307E-01  0.637815E-02   1.09053      0.409662      0.408520      0.272346       0.00000       0.00000       0.00000      0.272346    
  0.436509E-03   1.77014      0.420669      0.680007      0.405131      0.673153      0.155377E-01  0.685382E-02   1.07828      0.405131      0.403892      0.269261       0.00000       0.00000       0.00000      0.269261    
  0.478622E-03   1.79312      0.417217      0.672831      0.400629      0.665480      0.165875E-01  0.735122E-02   1.06611      0.400629      0.399288      0.266192       0.00000       0.00000       0.00000      0.266192    
  0.524798E-03   1.81641      0.413944      0.665803      0.396194      0.657897      0.177496E-01  0.790595E-02   1.05409      0.396194      0.394738      0.263159       0.00000       0.00000       0.00000      0.263159    
  0.575429E-03   1.83983      0.410758      0.658842      0.391789      0.650352      0.189689E-01  0.849019E-02   1.04214      0.391789      0.390211      0.260141       0.00000       0.00000       0.00000      0.260141    
